us_aqi,aqi_lag_1,aqi_lag_3,aqi_lag_6,aqi_lag_24,aqi_change_1h,aqi_change_3h,aqi_rolling_mean_6h,aqi_rolling_mean_24h,next_temperature_2m,next_relative_humidity_2m,next_precipitation,next_surface_pressure,next_wind_speed_10m,next_pm2_5,next_pm10,next_carbon_monoxide,next_nitrogen_dioxide,next_sulphur_dioxide,next_ozone,next_hour_sin,next_hour_cos,next_dow_sin,next_dow_cos,next_month_sin,next_month_cos
82,83.0,85.0,85.0,91.0,-1.0,-3.0,84.0,98.66666666666667,41.4,10.0,0.0,978.9,13.0,10.5,19.7,279.0,2.9,6.6,181.0,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998
116,114.0,109.0,99.0,82.0,2.0,7.0,109.5,113.16666666666667,40.1,18.0,0.0,978.2,14.3,21.9,48.0,399.0,5.0,8.9,188.0,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998
306,291.0,257.0,227.0,118.0,15.0,49.0,269.3333333333333,197.45833333333334,24.6,87.0,0.9,982.1,16.7,57.2,145.3,795.0,9.1,13.0,129.0,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998
138,135.0,126.0,114.0,118.0,3.0,12.0,128.16666666666666,118.41666666666667,27.2,60.0,0.0,983.1,6.0,48.8,135.0,621.0,20.6,12.0,95.0,0.9659258262890683,-0.25881904510252063,0.0,1.0,0.49999999999999994,-0.8660254037844387
174,172.0,169.0,164.0,139.0,2.0,5.0,169.66666666666666,161.25,27.5,61.0,0.0,979.3,4.9,64.5,107.3,690.0,46.6,12.1,43.0,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387
153,154.0,156.0,180.0,155.0,-1.0,-3.0,156.16666666666666,162.75,24.1,66.0,0.0,975.9,4.3,54.1,70.1,1953.0,35.6,10.3,50.0,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387
143,144.0,182.0,207.0,128.0,-1.0,-39.0,172.33333333333334,158.91666666666666,31.9,32.0,0.0,976.7,2.3,73.8,82.9,1049.0,101.1,18.1,9.0,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387
115,138.0,174.0,174.0,152.0,-23.0,-59.0,158.16666666666666,131.20833333333334,36.2,29.0,0.0,973.6,3.7,44.9,60.8,1509.0,37.2,11.1,84.0,-0.25881904510252157,0.9659258262890681,0.0,1.0,0.49999999999999994,-0.8660254037844387
180,195.0,194.0,131.0,174.0,-15.0,-14.0,185.0,140.625,37.7,21.0,0.0,971.6,4.5,51.6,78.9,1495.0,46.9,14.7,73.0,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387
282,266.0,245.0,219.0,173.0,16.0,37.0,251.83333333333334,199.0,31.0,57.0,0.0,978.4,8.9,84.1,497.3,836.0,20.1,6.4,90.0,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,0.49999999999999994,-0.8660254037844387
148,123.0,100.0,104.0,148.0,25.0,48.0,112.33333333333333,109.70833333333333,33.9,35.0,0.0,975.7,3.5,18.5,36.8,514.0,5.8,8.2,175.0,-0.9659258262890683,-0.25881904510252063,-0.7818314824680299,0.6234898018587334,0.49999999999999994,-0.8660254037844387
122,120.0,116.0,111.0,134.0,2.0,6.0,117.0,138.08333333333334,33.1,51.0,0.0,979.1,1.2,46.3,91.7,443.0,2.5,10.3,206.0,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,0.49999999999999994,-0.8660254037844387
157,157.0,157.0,156.0,143.0,0.0,0.0,156.83333333333334,162.375,36.5,37.0,0.0,978.6,0.7,40.4,58.1,551.0,3.4,13.4,220.0,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419,0.49999999999999994,-0.8660254037844387
159,159.0,158.0,154.0,116.0,0.0,1.0,158.0,148.58333333333334,36.1,34.0,0.0,980.4,5.6,35.4,50.6,571.0,4.5,10.7,191.0,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,-0.8660254037844387
115,116.0,120.0,123.0,118.0,-1.0,-5.0,118.66666666666667,123.58333333333333,30.2,54.0,0.0,980.1,6.0,37.5,59.6,679.0,14.1,18.7,132.0,0.7071067811865476,-0.7071067811865475,0.0,1.0,0.49999999999999994,-0.8660254037844387
122,125.0,124.0,122.0,113.0,-3.0,-2.0,123.83333333333333,133.20833333333334,30.2,56.0,0.0,975.8,2.5,43.1,65.9,761.0,26.6,13.7,72.0,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0.49999999999999994,-0.8660254037844387
